CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
27017,CHLX 13,60Z,WL,"""The Chicanx and Latinx and the Arts""",·······,TBA-TBA,Angelina Loyola,ONLINE,OL 
00469,CIS 2,62Z,Open,"""Computers and the Internet in Society""",·······,TBA-TBA,Valerie Taylor,ONLINE,OL Download Syllabus for CIS 2 62Z 
00471,CIS 3,02Z,Open,"""Business Information Systems""",·T·····,06:00 PM-06:50 PM,Hoang Nguyen,ONLINE,OL 
20371,CIS 3,62Z,Open,"""Business Information Systems""",·······,TBA-TBA,Spera Georgiou,ONLINE,OL Download Syllabus for CIS 3 62Z 
02638,CIS 3,74Z,Open,"""Business Information Systems""",·······,TBA-TBA,Alexander Morgan Jr,ONLINE,OL Download Syllabus for CIS 3 74Z 
26036,CIS 4,03Z,Open,"""Computer Literacy""",·T·····,03:30 PM-04:20 PM,Anita Whitehill,ONLINE,OL 
22333,CIS 4,62Z,Open,"""Computer Literacy""",·······,TBA-TBA,Linda West,ONLINE,OL Download Syllabus for CIS 4 62Z 
26498,CIS 5,61Z,Open,"""Swift Programming""",·······,TBA-TBA,Manish Goel,ONLINE,OL 
27728,CIS 6,62Z,Open,"""Introduction to Data Communication and Networking""",·······,TBA-TBA,Spera Georgiou,ONLINE,OL Download Syllabus for CIS 6 62Z 
21790,CIS 14A,62Z,Open,"""Visual Basic .NET Programming I""",·······,TBA-TBA,Arthur Linn Jr,ONLINE,OL Download Syllabus for CIS 14A 62Z 
00479,CIS 18A,12Z,WL,"""Introduction to Unix/Linux""",M·W····,06:00 PM-06:50 PM,Lalitha Krishnamurthy,ONLINE,OL 
02644,CIS 21JA,01Z,WL,"""Introduction to x86 Processor Assembly Language and Computer Architecture""",·T·R···,01:30 PM-02:20 PM,Abeer Alameer,ONLINE,OL 
22853,CIS 21JA,62Z,WL,"""Introduction to x86 Processor Assembly Language and Computer Architecture""",·······,TBA-TBA,Abeer Alameer,ONLINE,OL 
26235,CIS 21JA,63Z,WL,"""Introduction to x86 Processor Assembly Language and Computer Architecture""",·······,TBA-TBA,Yau Lau,ONLINE,OL 
21716,CIS 22A,05Z,WL,"""Beginning Programming Methodologies in C++""",M·W····,01:30 PM-03:20 PM,Ira Oldham,ONLINE,OL Download Syllabus for CIS 22A 05Z 
27781,CIS 22A,06Z,WL,"""Beginning Programming Methodologies in C++""",·T·R···,04:30 PM-06:20 PM,Alexandre Stoykov,ONLINE,OL 
22584,CIS 22A,50Z,Open,"""Beginning Programming Methodologies in C++""",·······,TBA-TBA,"LAM, AN",ONLINE,OL 
22329,CIS 22A,57Z,WL,"""Beginning Programming Methodologies in C++""",·······,TBA-TBA,"LIN, MAY",ONLINE,OL 
22006,CIS 22A,06GZ,Open,"""Beginning Programming Methodologies in C++""",·T·R···,04:30 PM-06:20 PM,Alexandre Stoykov,ONLINE,OL 
23868,CIS 22A,62Z,WL,"""Beginning Programming Methodologies in C++""",·······,TBA-TBA,Mary Pape,ONLINE,OL 
21720,CIS 22B,02Z,Open,"""Intermediate Programming Methodologies in C++""",·T·····,06:00 PM-07:15 PM,Manish Goel,AT311,OL 
22325,CIS 22B,03Z,WL,"""Intermediate Programming Methodologies in C++""",M·W····,09:30 AM-11:20 AM,Edward Ahrens,ONLINE,OL 
21719,CIS 22B,04Z,WL,"""Intermediate Programming Methodologies in C++""",M·W····,01:30 PM-03:20 PM,Edward Ahrens,ONLINE,OL 
26233,CIS 22B,63Z,WL,"""Intermediate Programming Methodologies in C++""",·······,TBA-TBA,Hann So,ONLINE,OL 
27965,CIS 22B,73Z,Open,"""Intermediate Programming Methodologies in C++""",·······,TBA-TBA,Linyun Yu,ONLINE,OL 
26034,CIS 22C,03Z,WL,"""Data Abstraction and Structures""",·······,TBA-TBA,Kamran Eftekhari,ONLINE,OL 
22320,CIS 22C,50Z,WL,"""Data Abstraction and Structures""",·······,TBA-TBA,Kamran Eftekhari,ONLINE,OL 
22855,CIS 22C,62Z,Open,"""Data Abstraction and Structures""",·······,TBA-TBA,Jennifer Parrish,ONLINE,OL 
22958,CIS 29,11Z,Open,"""Advanced C++ Programming""",·T·R···,06:00 PM-07:50 PM,Grant Larkin,ONLINE,OL 
00484,CIS 35A,01Z,Open,"""Java Programming""",M······,01:30 PM-03:20 PM,Linyun Yu,ONLINE,OL 
23382,CIS 35A,62Z,WL,"""Java Programming""",·······,TBA-TBA,Felix Amoruwa,ONLINE,OL 
25935,CIS 40,01Z,WL,"""Introduction to Programming in Python""",·T·R···,04:30 PM-06:20 PM,Yau Lau,ONLINE,OL 
26032,CIS 40,03Z,WL,"""Introduction to Programming in Python""",··W····,01:30 PM-02:20 PM,Anita Whitehill,ONLINE,OL 
26785,CIS 40,01GZ,Full,"""Introduction to Programming in Python""",·T·R···,04:30 PM-06:20 PM,Yau Lau,ONLINE,OL 
26035,CIS 40,62Z,WL,"""Introduction to Programming in Python""",·······,TBA-TBA,Alexandre Stoykov,ONLINE,OL 
27462,CIS 40,63Z,Full,"""Introduction to Programming in Python""",·······,TBA-TBA,Mirsaeid Abolghasemi,ONLINE,OLLQ 
23384,CIS 41A,01Z,Open,"""Python Programming""",·T·R···,03:30 PM-05:20 PM,Ira Oldham,ONLINE,OL Download Syllabus for CIS 41A 01Z 
26033,CIS 41A,62Z,WL,"""Python Programming""",·······,TBA-TBA,Mirsaeid Abolghasemi,ONLINE,OL 
25218,CIS 41B,01Z,Open,"""Advanced Python Programming""",M·W····,06:00 PM-07:50 PM,Grant Larkin,ONLINE,OL 
27305,CIS 44A,62Z,Open,"""Database Management Systems""",·······,TBA-TBA,Tuan Nguyen,ONLINE,OL 
27312,CIS 46,62Z,WL,"""Fundamentals of Digital Security""",·······,TBA-TBA,Joseph Lam,ONLINE,OL 
25934,CIS 64B,02Z,WL,"""Introduction to SQL""",·······,TBA-TBA,Sukhjit Singh,ONLINE,OL 
22859,CIS 64C,02Z,Open,"""Introduction to PL/SQL""",·······,TBA-TBA,Sukhjit Singh,ONLINE,OL 
25933,CIS 64G,62Z,Open,"""Data Visualization Methodology and Tools""",·······,TBA-TBA,Manish Goel,ONLINE,OL 
27779,CIS 69A,01Z,Open,"""Technical Support Fundamentals""",··W····,06:00 PM-06:50 PM,Luis Barreto,ONLINE,OL 
27777,CIS 69D,01Z,Open,"""System Administration and IT Infrastructure Services""",M······,06:00 PM-06:50 PM,Luis Barreto,ONLINE,OL 
25295,CIS 79,62Z,Open,"""Managing Technology Projects""",·······,TBA-TBA,Robert Slate,ONLINE,OL Download Syllabus for CIS 79 62Z 
00494,CIS 89A,62Z,WL,"""Web Page Development""",·······,TBA-TBA,Valerie Taylor,ONLINE,OL Download Syllabus for CIS 89A 62Z 
26016,CIS 89C,62Z,WL,"""Client-Side Programming with JavaScript""",·······,TBA-TBA,Arthur Linn Jr,ONLINE,OL Download Syllabus for CIS 89C 62Z 
27655,CIS 95A,15Z,Open,"""Project Management - A Practicum""",·····S·,08:30 AM-06:20 PM,Sukhjit Singh,ONLINE,OLLQ 
27657,CIS 95B,15Z,WL,"""Project Planning and Control - A Practicum""",·····S·,09:30 AM-05:20 PM,Sukhjit Singh,ONLINE,OLLQ 
21723,CIS 98,62Z,Open,"""Digital Image Editing Software (Photoshop)""",·······,TBA-TBA,Patricia Holmes,ONLINE,OL 
23077,CIS 99,62Z,Open,"""Office Software Applications""",·······,TBA-TBA,Patricia Holmes,ONLINE,OL 
24252,CIS 102,62Z,WL,"""Ethical Hacking""",·······,TBA-TBA,Len Fisk,ONLINE,OL Download Syllabus for CIS 102 62Z 
